id;cím;szerző
SF-001;A Holo Felkelés;Eszter Thompson
SF-002;A Kvantum Titok;Olivia Garcia
SF-003;A Holo Kapcsolat;William Moore
SF-004;A Galaktikus Utazó;David Moore
SF-005;A Neo Kolónia;Richard Williams
SF-006;A Warp Ébredés;Katalin Kovács
SF-007;A Warp Árnyék;Éva Kiss
SF-008;A Cyber Kapcsolat;László Thompson
SF-009;A Fotón Varázs;János Jones
SF-010;A Dimenzió Exodus;János Rodriguez
SF-011;A Kvantum Kapcsolat;Richard Nagy
SF-012;A Galaktikus Ébredés;Ágnes Miller
SF-013;A Neutron Háború;Gábor Martin
SF-014;A Szingularitás Kapcsolat;Michael Jones
SF-015;A Dimenzió Felkelés;Joseph Nagy
SF-016;A Andromeda Portál;Robert Tóth
SF-017;A Warp Varázs;Thomas Rodriguez
SF-018;A Astro Titok;James Szabó
SF-019;A Astro Utazó;István Taylor
SF-020;A Krono Kolónia;Joseph Garcia
SF-021;A Cyber Birodalom;Isabella Smith
SF-022;A Szingularitás Portál;James Martinez
SF-023;A Elektron Háború;Zsuzsanna Smith
SF-024;A Kvantum Ébredés;Judit Taylor
SF-025;A Idő Árnyék;Ágnes Nagy
SF-026;A Neo Árnyék;Charlotte Martinez
SF-027;A Andromeda Kolónia;Eszter Davis
SF-028;A Andromeda Végzet;Amelia Lee
SF-029;A Kvantum Invázió;William Farkas
SF-030;A Andromeda Titok;Éva Nagy
SF-031;A Astro Ébredés;Robert White
SF-032;A Dimenzió Kapcsolat;David Davis
SF-033;A Astro Titok;Eszter Lee
SF-034;A Dimenzió Végzet;Katalin Varga
SF-035;A Warp Végzet;Richard Martin
SF-036;A Idő Végzet;Olivia Martin
SF-037;A Warp Varázs;Ágnes Smith
SF-038;A Astro Paradoxon;Péter Varga
SF-039;A Kvantum Árnyék;János Lee
SF-040;A Dimenzió Kolónia;Péter Martin
SF-041;A Neo Végzet;Joseph Nagy
SF-042;A Idő Háború;Richard Garcia
SF-043;A Galaktikus Exodus;James Kovács
SF-044;A Csillag Kapcsolat;Olivia Smith
SF-045;A Warp Kaland;Judit Szabó
SF-046;A Neo Végzet;Charlotte Lee
SF-047;A Plazma Felkelés;Judit Martinez
SF-048;A Elektron Portál;Mihály Martin
SF-049;A Astro Utazó;Thomas Rodriguez
SF-050;A Cyber Végzet;László Tóth
SF-051;A Idő Titok;Éva Davis
SF-052;A Neutron Utazó;János Martin
SF-053;A Idő Kapcsolat;László Smith
SF-054;A Astro Ébredés;Mihály Taylor
SF-055;A Warp Invázió;James Lee
SF-056;A Elektron Ébredés;Judit Kiss
SF-057;A Cyber Utazó;Emma Anderson
SF-058;A Kvazar Ébredés;András Rodriguez
SF-059;A Fotón Ködök;Olivia Varga
SF-060;A Szingularitás Invázió;Emma Rodriguez
SF-061;A Csillag Háború;Amelia Jackson
SF-062;A Astro Ébredés;Michael Anderson
SF-063;A Andromeda Végzet;András Jones
SF-064;A Krono Exodus;Sophia Tóth
SF-065;A Kvantum Invázió;Joseph Thompson
SF-066;A Szingularitás Birodalom;Ava Martin
SF-067;A Kvazar Varázs;Michael Horváth
SF-068;A Kvantum Kapcsolat;Joseph Smith
SF-069;A Idő Paradoxon;Charlotte Martinez
SF-070;A Idő Titok;Amelia Jones
SF-071;A Szingularitás Árnyék;Amelia Nagy
